"Player","Pos","Class","School","Conference","Season","Total"
"Jonathan Bullard","DL","SR","Florida","SEC",2015,9.9166
"Carl Nassib","DL","SR","Penn State","Big Ten",2015,9.9159
"Parker Baldwin","DB","SR","San Diego State","Mountain West",2018,9.9137
"Jack Koerner","DB","SO","Iowa","Big Ten",2019,9.912
"John Timu","LB","SR","Washington","Pac-12",2014,9.9098
"J.K. Schaffer","LB","SR","Cincinnati","Big East",2011,9.9086
"Zach Allen","DL","SR","Boston College","ACC",2018,9.9082
"Devin Lloyd","LB","SO","Utah","Pac-12",2019,9.9069
"Nick Fairley","DL","JR","Auburn","SEC",2010,9.8912
"Troy Davis","DL","SR","UCF","CUSA",2012,9.891
"E.J. Ejiya","LB","SR","North Texas","CUSA",2018,9.8903
"Francis Bernard","LB","SR","Utah","Pac-12",2019,9.8889
"James Lynch","DL","JR","Baylor","Big 12",2019,9.8852
"K'Von Wallace","DB","SR","Clemson","ACC",2019,9.8824
"Tyler Matakevich","LB","SO","Temple","American",2013,9.8787
"Joe Bachie","LB","SO","Michigan State","Big Ten",2017,9.8684
"Chris Borland","LB","JR","Wisconsin","Big Ten",2012,9.8677
"Ben Gedeon","LB","SR","Michigan","Big Ten",2016,9.8602
"Christian Wilkins","DL","SR","Clemson","ACC",2018,9.8512
"Kyahva Tezino","LB","JR","San Diego State","Mountain West",2018,9.849
"David Woodward","LB","SO","Utah State","Mountain West",2018,9.849
"Manti Te'o","LB","JR","Notre Dame","Independent",2011,9.8485
"Weston Steelhammer","DB","SR","Air Force","Mountain West",2016,9.8399
"Justin Reid","DB","JR","Stanford","Pac-12",2017,9.8399
"Shayne Skov","LB","SR","Stanford","Pac-12",2013,9.8372
"Chris Wormley","DL","SR","Michigan","Big Ten",2015,9.8365
"Jalen Reeves-Maybin","LB","JR","Tennessee","SEC",2015,9.8292
"Joe Giles-Harris","LB","SO","Duke","ACC",2017,9.8284
"Lukas Denis","DB","JR","Boston College","ACC",2017,9.8224
"Derron Smith","DB","JR","Fresno State","Mountain West",2013,9.8138
"Evan McKelvey","LB","SR","Marshall","CUSA",2015,9.8134
"Su'a Cravens","DB","SO","USC","Pac-12",2014,9.8078
"Christian LaCouture","DL","SR","LSU","SEC",2017,9.803
"Jayrone Elliott","DL","SR","Toledo","MAC",2013,9.7988
"Michael Caputo","DB","JR","Wisconsin","Big Ten",2014,9.7973
"Kenny Clark","DL","JR","UCLA","Pac-12",2015,9.7844
"Tedric Thompson","DB","SR","Colorado","Pac-12",2016,9.7799
"Delano Howell","DB","JR","Stanford","Pac-10",2010,9.7757
"Raekwon McMillan","LB","SO","Ohio State","Big Ten",2015,9.7709
"Martrell Spaight","LB","SR","Arkansas","SEC",2014,9.77
"Jon Davis","DB","JR","Air Force","Mountain West",2010,9.7693
"William Likely","DB","SO","Maryland","Big Ten",2014,9.7659
"KeiVarae Russell","DB","FR","Notre Dame","Independent",2012,9.7615
"Jamar Summers","DB","SO","Connecticut","American",2015,9.758
"Jordan Willis","DL","SR","Kansas State","Big 12",2016,9.7466
"Bennie Logan","DL","SO","LSU","SEC",2011,9.7429
"Sam Montgomery","DL","SO","LSU","SEC",2011,9.7429
"Terrence Brooks","DB","SR","Florida State","ACC",2013,9.7314
"William Jackson III","DB","SR","Houston","American",2015,9.7295
"Joe Ostman","DL","SR","Central Michigan","MAC",2017,9.7286
"Adrian McDonald","DB","SO","Houston","American",2013,9.7218
"Dexter Heyman","LB","SR","Louisville","Big East",2011,9.7139
"Skai Moore","LB","JR","South Carolina","SEC",2015,9.7124
"Eric Boggs","LB","JR","Appalachian State","Sun Belt",2016,9.711
"Deion Jones","LB","SR","LSU","SEC",2015,9.7083
"Maurice Hurst","DL","SR","Michigan","Big Ten",2017,9.7072
"Trevon Stewart","DB","SR","Houston","American",2015,9.7068
"Jonathan Brown","LB","SO","Illinois","Big Ten",2011,9.7065
"Derrell Smith","LB","SR","Syracuse","Big East",2010,9.7028
"Jeremy Timpf","LB","SR","Army","Independent",2016,9.6992
"Kekoa Nawahine","DB","SO","Boise State","Mountain West",2017,9.6945
"Devon Key","DB","JR","Western Kentucky","CUSA",2019,9.6835
"Nate Holley","DB","SO","Kent State","MAC",2014,9.679
"Will Anthony","DL","SR","Navy","American",2015,9.6787
"Cody Barton","LB","SR","Utah","Pac-12",2018,9.6751
"Scott Vallone","DL","SR","Rutgers","Big East",2012,9.6682
"Ky'el Hemby","DB","JR","Southern Miss","CUSA",2018,9.6665
"Jeffrey Allison","LB","SO","Fresno State","Mountain West",2017,9.6632
"Sione Takitaki","LB","SR","BYU","Independent",2018,9.6625
"T.J. Edwards","LB","FR","Wisconsin","Big Ten",2015,9.6546
"Sidney Jones","DB","SO","Washington","Pac-12",2015,9.6545
"Kyle Bailey","LB","JR","Western Kentucky","CUSA",2019,9.6504
"Bravvion Roy","DL","SR","Baylor","Big 12",2019,9.6489
"A.J. Epenesa","DL","SO","Iowa","Big Ten",2018,9.646
"Nate Andrews","DB","FR","Florida State","ACC",2013,9.6415
"Porter Gustin","DL","SO","USC","Pac-12",2016,9.6407
"Derrick Kindred","DB","JR","TCU","Big 12",2014,9.64
"Reuben Foster","LB","SR","Alabama","SEC",2016,9.6383
"John Stepec","DL","SR","Toledo","MAC",2016,9.6345
"D.J. Wonnum","DL","SO","South Carolina","SEC",2017,9.6327
"Matt Elam","DB","SO","Florida","SEC",2011,9.6189
"Jevon Holland","DB","SO","Oregon","Pac-12",2019,9.6047
"Nate Holley","DB","JR","Kent State","MAC",2015,9.6016
"Skai Moore","LB","SR","South Carolina","SEC",2017,9.601
"Tre Boston","DB","SR","North Carolina","ACC",2013,9.5992
"Brett Roy","DL","SR","Nevada","WAC",2011,9.597
"D.J. Swearinger","DB","SR","South Carolina","SEC",2012,9.5955
"Rashan Gary","DL","SO","Michigan","Big Ten",2017,9.5948
"Derrick Mathews","LB","JR","Houston","American",2013,9.5945
"Vonn Bell","DB","JR","Ohio State","Big Ten",2015,9.5937
"Randy Allen","DL","SR","South Alabama","Sun Belt",2016,9.5927
"Kristian Welch","LB","SR","Iowa","Big Ten",2019,9.5919
"Melvin Ingram","DL","SR","South Carolina","SEC",2011,9.5897
"Casey Hayward","DB","SR","Vanderbilt","SEC",2011,9.5884
"Raequan Williams","DL","JR","Michigan State","Big Ten",2018,9.5859
"Lewis Neal","DL","SR","LSU","SEC",2016,9.5855
"D'Cota Dixon","DB","JR","Wisconsin","Big Ten",2016,9.5843
"Tra'Mayne Bondurant","DB","JR","Arizona","Pac-12",2013,9.5737
"Quin Blanding","DB","FR","Virginia","ACC",2014,9.5723
"Ben Gardner","DL","SR","Stanford","Pac-12",2012,9.5718
"T.T. Barber","LB","SO","Middle Tennessee","CUSA",2013,9.5695
"Jermauria Rasco","DL","SR","LSU","SEC",2014,9.5659
"Ty Zimmerman","DB","SR","Kansas State","Big 12",2013,9.5606
"Mehdi Abdesmad","DL","SR","Boston College","ACC",2015,9.5533
"Andrew Gachkar","LB","SR","Missouri","Big 12",2010,9.5521
"Lawrence Wilson","LB","SR","Connecticut","Big East",2010,9.5482
"Trevon Hill","DL","SO","Virginia Tech","ACC",2017,9.5473
"Chris White","LB","SR","Mississippi State","SEC",2010,9.5449
"Steven Friday","DL","SR","Virginia Tech","ACC",2010,9.5446
"Josh Mauro","DL","SR","Stanford","Pac-12",2013,9.5388
"Folorunso Fatukasi","DL","SO","Connecticut","American",2015,9.5376
"Malik Smith","DB","JR","San Diego State","Mountain West",2015,9.537
"Antonio Jones-Davis","LB","JR","Northern Illinois","MAC",2018,9.5339
"Bacarri Rambo","DB","SO","Georgia","SEC",2010,9.5231
"Cameron Heyward","DL","SR","Ohio State","Big Ten",2010,9.5196
"Mario Harvey","LB","SR","Marshall","CUSA",2010,9.5167
"Justin Francis","DL","SR","Rutgers","Big East",2011,9.515
"Jessie Lemonier","DL","SR","Liberty","Independent",2019,9.509
"Terrance Plummer","LB","SR","UCF","American",2014,9.5026
"Joshua Perry","LB","SR","Ohio State","Big Ten",2015,9.4953
"Sean Chandler","DB","SO","Temple","American",2015,9.4925
"D.J. Reed","DB","SO","Kansas State","Big 12",2016,9.492
"Marcus Mallet","LB","SR","TCU","Big 12",2014,9.4891
"Garrett Taylor","DB","SR","Penn State","Big Ten",2019,9.4821
"Chuck Harris","DL","JR","Buffalo","MAC",2017,9.4795
"Elisha Olabode","DB","JR","TCU","Big 12",2012,9.4744
"Christian Wilkins","DL","JR","Clemson","ACC",2017,9.4735
"Kameron Kelly","DB","SR","San Diego State","Mountain West",2017,9.4692
"Jordan Poyer","DB","SR","Oregon State","Pac-12",2012,9.4669
"Isaiah Lewis","DB","SO","Michigan State","Big Ten",2011,9.466
"Jesse Brubaker","DL","JR","Tulsa","American",2016,9.4621
"Jordan Hill","DL","JR","Penn State","Big Ten",2011,9.4548
"Damian Swann","DB","SR","Georgia","SEC",2014,9.444
"Chris Odom","DL","SR","Arkansas State","Sun Belt",2016,9.4319
"Desmond King","DB","SR","Iowa","Big Ten",2016,9.431
"Derrick Brown","DL","SO","Auburn","SEC",2017,9.4295
"Ronnell Lewis","DL","JR","Oklahoma","Big 12",2011,9.4236
"Keion Adams","DL","SR","Western Michigan","MAC",2016,9.4214
"Sharrif Floyd","DL","JR","Florida","SEC",2012,9.4151
"J.R. Reed","DB","SO","Georgia","SEC",2017,9.4046
"Ryan Connelly","LB","JR","Wisconsin","Big Ten",2017,9.3994
"Tiquan Lang","DB","JR","Marshall","CUSA",2015,9.394
"Bradlee Anae","DL","JR","Utah","Pac-12",2018,9.3937
"Jonathan Cyprien","DB","JR","FIU","Sun Belt",2011,9.3905
"Kasim Edebali","DL","SR","Boston College","ACC",2013,9.385
"Aikeem Coleman","DL","SR","Idaho","Sun Belt",2017,9.3845
"Jordan Richards","DB","SO","Stanford","Pac-12",2012,9.3844
"Myles Bryant","DB","SR","Washington","Pac-12",2019,9.3843
"Darren Hall","DB","SO","San Diego State","Mountain West",2019,9.3832
"Kuony Deng","LB","JR","California","Pac-12",2019,9.383
"Derrick Shelby","DL","SR","Utah","Pac-12",2011,9.3817
"Stephon Tuitt","DL","JR","Notre Dame","Independent",2013,9.3777
"Delano Hill","DB","SR","Michigan","Big Ten",2016,9.3767
"Evan Worthington","DB","JR","Colorado","Pac-12",2017,9.3723
"D'Joun Frye-Smith","DB","JR","FAU","CUSA",2013,9.3695
"Jaleel Johnson","DL","SR","Iowa","Big Ten",2016,9.3694
"Brian Peavy","DB","JR","Iowa State","Big 12",2017,9.3677
"Eric Reid","DB","SO","LSU","SEC",2011,9.3643
"Michael Odiari","DL","SR","Texas State","Sun Belt",2014,9.3641
"Da'Ron Payne","DL","JR","Alabama","SEC",2017,9.3601
"Steven Daniels","LB","SR","Boston College","ACC",2015,9.3594
"Jeremy Timpf","LB","SO","Army","Independent",2014,9.3514
"Joey Banks","DB","SR","Buffalo","MAC",2019,9.3511
"Tanzel Smart","DL","SR","Tulane","American",2016,9.3461
"Jalen Elliott","DB","JR","Notre Dame","Independent",2018,9.3458
"Eric Burrell","DB","JR","Wisconsin","Big Ten",2019,9.345
"Jamell Garcia-Williams","DL","SR","UAB","CUSA",2018,9.3443
"Jamal Adams","DB","JR","LSU","SEC",2016,9.3436
"Alec James","DL","SR","Wisconsin","Big Ten",2017,9.3422
"Nevin Lawson","DB","SR","Utah State","Mountain West",2013,9.3401
"Justin Rice","LB","JR","Fresno State","Mountain West",2019,9.3396
"Jaye Howard","DL","SR","Florida","SEC",2011,9.3346
"Ryan Carrethers","DL","SR","Arkansas State","Sun Belt",2013,9.3345
"Dylan Evans","LB","SR","Akron","MAC",2015,9.333
"Zack Sanchez","DB","JR","Oklahoma","Big 12",2015,9.3283
"Scott Crichton","DL","FR","Oregon State","Pac-12",2011,9.3232
"Devonte Fields","DL","FR","TCU","Big 12",2012,9.3175
"Aldon Smith","DL","SO","Missouri","Big 12",2010,9.3129
"Malcom Brown","DL","JR","Texas","Big 12",2014,9.3126
"Clayton Geathers","DB","SR","UCF","American",2014,9.3108
"Luke Wollet","DB","JR","Kent State","MAC",2012,9.3009
"Brandon Williams","LB","SR","East Carolina","American",2014,9.2957
"Nate Brooks","DB","SR","North Texas","CUSA",2018,9.2956
"Xavier Woods","DB","SO","Louisiana Tech","CUSA",2014,9.2953
"DeAundre Brown","LB","SR","Tulsa","CUSA",2012,9.2901
"Walter Brady","DL","FR","Missouri","SEC",2015,9.2873
"Henry Anderson","DL","JR","Stanford","Pac-12",2012,9.2866
"Brody Hoying","DB","SO","Eastern Michigan","MAC",2017,9.2863
"Xavier McKinney","DB","SO","Alabama","SEC",2018,9.2861
"Montravius Adams","DL","SR","Auburn","SEC",2016,9.2851
"Ryan Winterswyk","DL","SR","Boise State","WAC",2010,9.277
"Leon McFadden","DB","SR","San Diego State","Mountain West",2012,9.2704
"Andrew Jackson","LB","SO","Western Kentucky","Sun Belt",2011,9.2695
"Shaquille Quarterman","LB","SR","Miami (FL)","ACC",2019,9.2693
"Corbin Kaufusi","DL","SR","BYU","Independent",2018,9.2642
"Nico Johnson","LB","JR","Alabama","SEC",2011,9.2624
"Myles Cheatum","DL","SR","San Diego State","Mountain West",2019,9.262
"Vic Beasley","DL","SR","Clemson","ACC",2014,9.2532
"Shalom Luani","DB","JR","Washington State","Pac-12",2015,9.2529
"Tramain Thomas","DB","SR","Arkansas","SEC",2011,9.2482
"Rayshard Ashby","LB","JR","Virginia Tech","ACC",2019,9.2474
"Reggie Ragland","LB","SR","Alabama","SEC",2015,9.245
"John Boyett","DB","SO","Oregon","Pac-10",2010,9.2425
"Danny Trevathan","LB","JR","Kentucky","SEC",2010,9.2421
"David Nwabuisi","LB","SR","Northwestern","Big Ten",2012,9.2406
"Damion Square","DL","JR","Alabama","SEC",2011,9.2335
"Jared Tevis","DB","SR","Arizona","Pac-12",2014,9.2333
"Greg Gaines","DL","SR","Washington","Pac-12",2018,9.2299
"Robert Singletary","DL","SR","UTSA","CUSA",2014,9.2273
"Brandon Taylor","DB","SR","LSU","SEC",2011,9.2257
"Shaq Lawson","DL","JR","Clemson","ACC",2015,9.2255
"Troy Dye","LB","SR","Oregon","Pac-12",2019,9.2252
"Ifo Ekpre-Olomu","DB","SO","Oregon","Pac-12",2012,9.2243
"Markus Bailey","LB","SO","Purdue","Big Ten",2017,9.2222
"Charles Tapper","DL","SR","Oklahoma","Big 12",2015,9.2141
"Cameron Lawrence","LB","JR","Mississippi State","SEC",2011,9.2133
"Manti Te'o","LB","SO","Notre Dame","Independent",2010,9.212
"James Wiggins","DB","SO","Cincinnati","American",2018,9.2103
"Carlton Martial","LB","SO","Troy","Sun Belt",2019,9.2043
"Erroll Thompson","LB","SO","Mississippi State","SEC",2018,9.2021
"Bjoern Werner","DL","SO","Florida State","ACC",2011,9.2019
"Jayon Brown","LB","SR","UCLA","Pac-12",2016,9.2018
"Mike Martin","DL","SR","Michigan","Big Ten",2011,9.1953
"Bryce Hall","DB","JR","Virginia","ACC",2018,9.1936
"Desmond Franklin","DB","JR","Appalachian State","Sun Belt",2018,9.1929
"Brian Suite","DB","JR","Utah State","Mountain West",2013,9.1899
"Jachai Polite","DL","JR","Florida","SEC",2018,9.1801
"Chase Hancock","LB","JR","Marshall","CUSA",2017,9.1781
"Titus Davis","DL","SR","UCF","American",2018,9.1778
"Kevin Dodd","DL","JR","Clemson","ACC",2015,9.1623
"Darius Phillips","DB","JR","Western Michigan","MAC",2016,9.1566
"D'Juan Hines","LB","SR","Houston","American",2017,9.1552
"Tony Jefferson","DB","JR","Oklahoma","Big 12",2012,9.1527
"Reed Blankenship","DB","SO","Middle Tennessee","CUSA",2018,9.1498
"Paulson Adebo","DB","SO","Stanford","Pac-12",2018,9.1477
"Justin Anderson","LB","SR","Louisiana","Sun Belt",2013,9.1455
"Robert Lester","DB","SR","Alabama","SEC",2012,9.1418
"Chauncey Gardner-Johnson","DB","JR","Florida","SEC",2018,9.1409
"Antone Exum","DB","SO","Virginia Tech","ACC",2011,9.1406
"Kenny Ladler","DB","SR","Vanderbilt","SEC",2013,9.1382
"Stansly Maponga","DL","SO","TCU","Mountain West",2011,9.138
"A.J. Howard","DB","JR","Appalachian State","Sun Belt",2016,9.1375
"Sione Takitaki","DL","JR","BYU","Independent",2017,9.1329
"Jerome Baker","LB","SO","Ohio State","Big Ten",2016,9.1313
"Jon Bostic","LB","SR","Florida","SEC",2012,9.1232
"Nathan Williams","DL","JR","Ohio State","Big Ten",2010,9.1229
"JaCoby Stevens","DB","JR","LSU","SEC",2019,9.1204
"Chazz Surratt","LB","JR","North Carolina","ACC",2019,9.1201
"Drake Nevis","DL","SR","LSU","SEC",2010,9.1188
"Shaun Prater","DB","JR","Iowa","Big Ten",2010,9.1172
"Armani Watts","DB","SO","Texas A&M","SEC",2015,9.1153
"Sam McCaskill","DL","SR","Boise State","Mountain West",2016,9.1141
"Terrell Burgess","DB","SR","Utah","Pac-12",2019,9.1122
"Jamell Fleming","DB","JR","Oklahoma","Big 12",2010,9.109
"Monty Rice","LB","JR","Georgia","SEC",2019,9.1052
"Johnathan Hankins","DL","SO","Ohio State","Big Ten",2011,9.1047
"Jacob Thieneman","DB","JR","Purdue","Big Ten",2017,9.1039
"Damontae Kazee","DB","SR","San Diego State","Mountain West",2016,9.1021
"Jamie Byrd","DB","SR","USF","American",2015,9.096
"James McFarland","DL","JR","TCU","Big 12",2014,9.0937
"Morgan Breslin","DL","JR","USC","Pac-12",2012,9.0916
"Jeremy Ioane","DB","SO","Boise State","Mountain West",2012,9.0913
"Cooper Edmiston","LB","JR","Tulsa","American",2018,9.0885
"Hunter Dimick","DL","SR","Utah","Pac-12",2016,9.0875
"Junior Sylvestre","DB","JR","Toledo","MAC",2013,9.0851
"Tre Watson","LB","SR","Maryland","Big Ten",2018,9.0848
"Khalid Kareem","DL","SR","Notre Dame","Independent",2019,9.0819
"Jordan Italiano","DB","JR","Kent State","MAC",2014,9.0778
"John Lowdermilk","DB","SR","Iowa","Big Ten",2014,9.0751
"James Burgess","LB","SO","Louisville","American",2013,9.0707
"Zach Vigil","LB","JR","Utah State","WAC",2012,9.0609
"Markus White","DL","SR","Florida State","ACC",2010,9.0554
"Aziz Shittu","DL","SR","Stanford","Pac-12",2015,9.054
"Omar Brown","DB","SR","Marshall","CUSA",2011,9.0525
"Tank Carder","LB","JR","TCU","Mountain West",2010,9.0514
"David Mayo","LB","SR","Texas State","Sun Belt",2014,9.0508
"Eric Boggs","LB","SR","Appalachian State","Sun Belt",2017,9.045
"Jake Doughty","LB","JR","Utah State","WAC",2012,9.0427
"Tyvis Powell","DB","JR","Ohio State","Big Ten",2015,9.0427
"Jermayne Lole","DL","SO","Arizona State","Pac-12",2019,9.0418
"James Bailey","LB","SR","Fresno State","Mountain West",2018,9.0374
"Shalom Luani","DB","SR","Washington State","Pac-12",2016,9.0361
"Jaylon McClinton","DB","JR","Army","Independent",2018,9.032
"Derwin James","DB","SO","Florida State","ACC",2017,9.0249
"Ja'Von Rolland-Jones","DL","JR","Arkansas State","Sun Belt",2016,9.0233
"Jonathan Massaquoi","DL","SO","Troy","Sun Belt",2010,9.0227
"Earl Wolff","DB","SR","North Carolina State","ACC",2012,9.0194
"Alex Hansen","DL","SR","Air Force","Mountain West",2015,9.0178
"Marcus McGraw","LB","SR","Houston","CUSA",2011,9.0177
"Bacarri Rambo","DB","JR","Georgia","SEC",2011,9.0149
"Khari Willis","DB","SR","Michigan State","Big Ten",2018,9.0133
"Quinten Rollins","DB","SR","Miami (OH)","MAC",2014,9.0111
"Donovan Wilson","DB","SO","Texas A&M","SEC",2015,9.0087
"Jamar Taylor","DB","SR","Boise State","Mountain West",2012,9.0004
"Kenny Buyers","DB","SO","North Texas","CUSA",2013,8.9991
"Malik Fountain","LB","SR","Central Michigan","MAC",2018,8.9938
"John Simon","DL","JR","Ohio State","Big Ten",2011,8.9899
"Jacoby Glenn","DB","SO","UCF","American",2014,8.9887
"Tony Washington","DL","JR","Oregon","Pac-12",2013,8.988
"Diego Fagot","LB","SO","Navy","American",2019,8.9876
"Raekwon McMillan","LB","JR","Ohio State","Big Ten",2016,8.9836
"Ryan Van Bergen","DL","SR","Michigan","Big Ten",2011,8.9824
"Dwayne Gratz","DB","SR","Connecticut","Big East",2012,8.9823
"Bobby Wagner","LB","SR","Utah State","WAC",2011,8.9804
"Nate Hall","LB","JR","Northwestern","Big Ten",2017,8.9786
"Dan Molls","LB","SR","Toledo","MAC",2012,8.9758
"Kyle Van Noy","LB","SO","BYU","Independent",2011,8.9741
"Landon Feichter","DB","SR","Purdue","Big Ten",2014,8.9681
"Shayne Skov","LB","SO","Stanford","Pac-10",2010,8.9626
"Jordan Whitehead","DB","FR","Pittsburgh","ACC",2015,8.9618
"Robert Lester","DB","JR","Alabama","SEC",2011,8.9594
"Efrem Oliphant","LB","SR","Houston","American",2014,8.9553
"Andrew Dowell","LB","SR","Michigan State","Big Ten",2018,8.9552
"Richard Sherman","DB","SR","Stanford","Pac-10",2010,8.9534
"Cody Prewitt","DB","JR","Ole Miss","SEC",2013,8.9519
"Isaiah Lewis","DB","JR","Michigan State","Big Ten",2012,8.9511
"Malik Harrison","LB","SR","Ohio State","Big Ten",2019,8.9446
"Shea McClellin","DL","SR","Boise State","Mountain West",2011,8.9432
"Parker Hesse","DL","SR","Iowa","Big Ten",2018,8.9422
"Jeremiah Dinson","DB","SR","Auburn","SEC",2019,8.9407
"Kyle Fuller","DB","SO","Virginia Tech","ACC",2011,8.9394
"Ha'Sean Clinton-Dix","DB","SO","Alabama","SEC",2012,8.9379
"Shawn Jackson","LB","SR","Tulsa","CUSA",2013,8.932
"Garret Wallow","LB","JR","TCU","Big 12",2019,8.9319
"Olasunkanmi Adeniyi","DL","JR","Toledo","MAC",2017,8.9298
"Darrick Forrest","DB","JR","Cincinnati","American",2019,8.9292
"John Johnson","DB","JR","Boston College","ACC",2015,8.9256
"Akeem Davis-Gaither","LB","SR","Appalachian State","Sun Belt",2019,8.9239
"Budda Baker","DB","JR","Washington","Pac-12",2016,8.922
"Jamie Collins","DL","SR","Southern Miss","CUSA",2012,8.9212
"Minkah Fitzpatrick","DB","JR","Alabama","SEC",2017,8.9191
"Micah Kiser","LB","JR","Virginia","ACC",2016,8.9168
"Trae Elston","DB","SR","Ole Miss","SEC",2015,8.9128
"Hakeem Smith","DB","SO","Louisville","Big East",2011,8.9122
"Taco Charlton","DL","SR","Michigan","Big Ten",2016,8.9121
"Steven Means","DL","SR","Buffalo","MAC",2012,8.9119
"Ben Burr-Kirven","LB","JR","Washington","Pac-12",2017,8.9106
"Ty Williams","DB","JR","Southern Miss","CUSA",2018,8.9042
"J.R. Reed","DB","SR","Georgia","SEC",2019,8.8969
"Marcus Maye","DB","JR","Florida","SEC",2015,8.8962
"Adam Davis","DL","SR","Kansas State","Big 12",2012,8.8931
"Anthony Rush","DL","SR","UAB","CUSA",2018,8.8929
"Doug Hogue","LB","SR","Syracuse","Big East",2010,8.8889
"Jordan Richards","DB","JR","Stanford","Pac-12",2013,8.8872
"Logan Wilson","LB","JR","Wyoming","Mountain West",2018,8.8863
"Jonathan Dowling","DB","JR","Western Kentucky","Sun Belt",2013,8.8799
